Humidity,Temperature,Step_count,Stress_Level
15.31,84.31,76,mid
12.92,81.92,19,low
27.67,96.67,180,high
13.6,82.6,87,low
17.4,86.4,12,mid
10.73,79.73,73,low
12.97,81.97,24,low
16.19,85.19,73,mid
17.05,86.05,68,mid
14.85,83.85,30,low
23.76,92.76,144,high
17.02,86.02,65,mid
26.17,95.17,172,high
22.58,91.58,104,mid
18.99,87.99,80,mid
15.18,84.18,63,mid
16.07,85.07,61,mid
22.46,91.46,122,mid
21.35,90.35,125,mid
13.4,82.4,67,low
17.91,86.91,63,mid
23.62,92.62,130,high
28.47,97.47,189,high
16.8,85.8,43,mid
14.08,83.08,44,low
26.93,95.93,177,high
26.72,95.72,156,high
22.25,91.25,101,mid
27.06,96.06,190,high
29.4,98.4,140,high
22.97,91.97,136,high
14.29,83.29,65,low
29.27,98.27,198,high
23.04,92.04,143,high
11.01,80.01,10,low
21.44,90.44,96,mid
13.01,82.01,28,low
15.13,84.13,58,mid
21.02,90.02,92,mid
20.21,89.21,125,mid
16.35,85.35,89,mid
27.31,96.31,144,high
13.42,82.42,69,low
15.0,84.0,45,low
16.91,85.91,54,mid
14.97,83.97,42,low
20.79,89.79,107,mid
21.65,90.65,117,mid
24.42,93.42,139,high
19.27,88.27,107,mid
16.66,85.66,29,mid
15.29,84.29,74,mid
17.9,86.9,62,mid
29.67,98.67,167,high
14.69,83.69,14,low
14.26,83.26,62,low
22.01,91.01,115,mid
25.71,94.71,197,high
23.7,92.7,138,high
12.88,81.88,15,low
25.88,94.88,143,high
19.59,88.59,101,mid
12.85,81.85,12,low
10.64,79.64,64,low
26.01,95.01,156,high
20.37,89.37,103,mid
19.7,88.7,112,mid
15.94,84.94,48,mid
22.86,91.86,124,mid
27.2,96.2,133,high
19.73,88.73,115,mid
12.28,81.28,46,low
24.22,93.22,190,high
23.1,92.1,149,high
21.7,90.7,122,mid
19.33,88.33,113,mid
11.7,80.7,79,low
22.45,91.45,121,mid
19.53,88.53,95,mid
16.08,85.08,62,mid
22.95,91.95,134,high
10.59,79.59,59,low
13.32,82.32,59,low
12.08,81.08,26,low
24.77,93.77,174,high
18.98,87.98,79,mid
23.0,92.0,139,high
24.86,93.86,183,high
22.21,91.21,97,mid
15.26,84.26,71,mid
25.28,94.28,154,high
17.86,86.86,58,mid
28.02,97.02,144,high
29.62,98.62,162,high
19.41,88.41,121,mid
16.06,85.06,60,mid
23.81,92.81,149,high
10.93,79.93,2,low
25.68,94.68,194,high
16.55,85.55,18,mid
19.49,88.49,129,mid
10.8,79.8,80,low
25.15,94.15,141,high
15.58,84.58,12,mid
29.55,98.55,155,high
12.31,81.31,49,low
10.58,79.58,58,low
23.35,92.35,174,high
15.82,84.82,36,mid
27.1,96.1,194,high
13.68,82.68,4,low
11.6,80.6,69,low
26.76,95.76,160,high
25.31,94.31,157,high
23.42,92.42,181,high
13.09,82.09,36,low
18.43,87.43,24,mid
26.31,95.31,186,high
16.21,85.21,75,mid
11.51,80.51,60,low
12.52,81.52,70,low
25.69,94.69,195,high
19.38,88.38,118,mid
22.9,91.9,128,mid
13.43,82.43,70,low
10.38,79.38,38,low
25.67,94.67,193,high
10.15,79.15,15,low
12.98,81.98,25,low
20.02,89.02,106,mid
19.23,88.23,103,mid
15.15,84.15,60,mid
20.19,89.19,123,mid
10.91,79.91,0,low
12.3,81.3,48,low
11.39,80.39,48,low
19.61,88.61,103,mid
18.26,87.26,7,mid
27.52,96.52,165,high
11.75,80.75,84,low
27.47,96.47,160,high
19.54,88.54,96,mid
26.41,95.41,196,high
23.65,92.65,133,high
17.59,86.59,31,mid
20.83,89.83,111,mid
29.1,98.1,181,high
29.22,98.22,193,high
14.91,83.91,36,low
23.97,92.97,165,high
16.1,85.1,64,mid
20.57,89.57,123,mid
18.56,87.56,37,mid
24.38,93.38,135,high
24.56,93.56,153,high
17.14,86.14,77,mid
23.4,92.4,179,high
22.78,91.78,124,mid
27.56,96.56,169,high
11.47,80.47,56,low
15.6,84.6,14,mid
26.74,95.74,158,high
16.62,85.62,25,mid
27.3,96.3,143,high
12.01,81.01,19,low
11.65,80.65,74,low
20.03,89.03,107,mid
14.76,83.76,21,low
22.23,91.23,99,mid
22.67,91.67,113,mid
19.2,88.2,100,mid
22.8,91.8,126,mid
14.12,83.12,48,low
18.61,87.61,42,mid
18.01,87.01,73,mid
16.92,85.92,55,mid
12.18,81.18,36,low
24.49,93.49,146,high
27.0,96.0,184,high
21.18,90.18,108,mid
10.0,79.0,0,low
19.12,88.12,92,mid
11.83,80.83,1,low
11.22,80.22,31,low
21.24,90.24,114,mid
22.74,91.74,120,mid
14.0,83.0,36,low
15.49,84.49,3,mid
20.35,89.35,101,mid
29.0,98.0,171,high
12.99,81.99,26,low
10.04,79.04,4,low
28.51,97.51,193,high
23.21,92.21,160,high
20.45,89.45,111,mid
11.71,80.71,80,low
24.16,93.16,184,high
11.42,80.42,51,low
12.2,81.2,38,low
22.26,91.26,102,mid
27.16,96.16,200,high
23.72,92.72,140,high
25.22,94.22,148,high
19.29,88.29,109,mid
15.1,84.1,55,mid
25.49,94.49,175,high
17.95,86.95,67,mid
25.05,94.05,131,high
24.46,93.46,143,high
16.12,85.12,66,mid
28.93,97.93,164,high
10.71,79.71,71,low
15.59,84.59,13,mid
24.93,93.93,190,high
27.94,96.94,136,high
28.01,97.01,143,high
13.9,82.9,26,low
20.54,89.54,120,mid
16.42,85.42,5,mid
20.69,89.69,97,mid
17.81,86.81,53,mid
17.23,86.23,86,mid
21.88,90.88,102,mid
16.89,85.89,52,mid
28.89,97.89,160,high
27.79,96.79,192,high
25.65,94.65,191,high
19.93,88.93,97,mid
19.03,88.03,84,mid
10.37,79.37,37,low
28.04,97.04,146,high
12.09,81.09,27,low
12.47,81.47,65,low
20.39,89.39,105,mid
26.42,95.42,197,high
29.23,98.23,194,high
19.16,88.16,96,mid
20.53,89.53,119,mid
29.01,98.01,172,high
20.32,89.32,98,mid
26.36,95.36,191,high
23.73,92.73,141,high
25.9,94.9,145,high
21.22,90.22,112,mid
10.86,79.86,86,low
26.88,95.88,172,high
16.5,85.5,13,mid
29.64,98.64,164,high
13.31,82.31,58,low
10.88,79.88,88,low
14.65,83.65,10,low
16.58,85.58,21,mid
17.13,86.13,76,mid
19.79,88.79,121,mid
21.57,90.57,109,mid
16.16,85.16,70,mid
21.66,90.66,118,mid
25.84,94.84,139,high
26.25,95.25,180,high
26.89,95.89,173,high
23.28,92.28,167,high
11.18,80.18,27,low
20.67,89.67,95,mid
17.82,86.82,54,mid
27.91,96.91,133,high
29.34,98.34,134,high
21.36,90.36,126,mid
25.3,94.3,156,high
17.96,86.96,68,mid
11.57,80.57,66,low
12.59,81.59,77,low
29.75,98.75,175,high
22.99,91.99,138,high
14.82,83.82,27,low
21.47,90.47,99,mid
26.37,95.37,192,high
11.8,80.8,89,low
15.84,84.84,38,mid
24.65,93.65,162,high
17.61,86.61,33,mid
24.61,93.61,158,high
10.68,79.68,68,low
13.88,82.88,24,low
15.36,84.36,81,mid
22.19,91.19,95,mid
25.58,94.58,184,high
23.55,92.55,194,high
18.95,87.95,76,mid
26.3,95.3,185,high
10.14,79.14,14,low
29.45,98.45,145,high
22.37,91.37,113,mid
15.88,84.88,42,mid
26.96,95.96,180,high
16.99,85.99,62,mid
24.68,93.68,165,high
18.06,87.06,78,mid
29.18,98.18,189,high
15.76,84.76,30,mid
17.98,86.98,70,mid
10.94,79.94,3,low
22.88,91.88,126,mid
13.56,82.56,83,low
23.92,92.92,160,high
13.71,82.71,7,low
22.83,91.83,129,mid
23.84,92.84,152,high
16.72,85.72,35,mid
29.15,98.15,186,high
27.85,96.85,198,high
14.75,83.75,20,low
24.32,93.32,200,high
26.54,95.54,138,high
28.85,97.85,156,high
27.25,96.25,138,high
11.96,80.96,14,low
22.94,91.94,133,high
24.07,93.07,175,high
17.07,86.07,70,mid
15.83,84.83,37,mid
21.89,90.89,103,mid
13.85,82.85,21,low
29.83,98.83,183,high
11.85,80.85,3,low
23.88,92.88,156,high
28.5,97.5,192,high
15.39,84.39,84,mid
15.7,84.7,24,mid
16.03,85.03,57,mid
13.04,82.04,31,low
23.6,92.6,199,high
21.13,90.13,103,mid
12.96,81.96,23,low
28.53,97.53,195,high
22.68,91.68,114,mid
24.75,93.75,172,high
21.73,90.73,125,mid
11.5,80.5,59,low
14.15,83.15,51,low
14.37,83.37,73,low
18.09,87.09,81,mid
14.63,83.63,8,low
27.42,96.42,155,high
11.17,80.17,26,low
15.57,84.57,11,mid
13.78,82.78,14,low
26.91,95.91,175,high
21.42,90.42,94,mid
14.93,83.93,38,low
29.81,98.81,181,high
23.01,92.01,140,high
10.47,79.47,47,low
21.29,90.29,119,mid
28.72,97.72,143,high
15.11,84.11,56,mid
13.33,82.33,60,low
29.76,98.76,176,high
26.11,95.11,166,high
24.09,93.09,177,high
13.44,82.44,71,low
27.44,96.44,157,high
12.84,81.84,11,low
22.2,91.2,96,mid
11.86,80.86,4,low
13.97,82.97,33,low
14.39,83.39,75,low
29.32,98.32,132,high
11.2,80.2,29,low
28.96,97.96,167,high
18.46,87.46,27,mid
14.3,83.3,66,low
18.35,87.35,16,mid
28.88,97.88,159,high
10.84,79.84,84,low
16.26,85.26,80,mid
15.73,84.73,27,mid
15.85,84.85,39,mid
17.57,86.57,29,mid
17.3,86.3,2,mid
23.14,92.14,153,high
20.64,89.64,92,mid
11.14,80.14,23,low
25.08,94.08,134,high
17.0,86.0,63,mid
15.63,84.63,17,mid
10.41,79.41,41,low
16.36,85.36,90,mid
16.85,85.85,48,mid
24.14,93.14,182,high
18.91,87.91,72,mid
24.29,93.29,197,high
27.53,96.53,166,high
18.38,87.38,19,mid
22.1,91.1,124,mid
27.88,96.88,130,high
13.53,82.53,80,low
27.21,96.21,134,high
26.68,95.68,152,high
11.82,80.82,0,low
28.57,97.57,199,high
17.28,86.28,0,mid
27.27,96.27,140,high
23.2,92.2,159,high
25.75,94.75,130,high
14.74,83.74,19,low
18.41,87.41,22,mid
21.06,90.06,96,mid
27.5,96.5,163,high
10.89,79.89,89,low
24.26,93.26,194,high
11.72,80.72,81,low
26.67,95.67,151,high
14.04,83.04,40,low
25.24,94.24,150,high
26.09,95.09,164,high
21.32,90.32,122,mid
28.33,97.33,175,high
15.54,84.54,8,mid
25.4,94.4,166,high
24.37,93.37,134,high
29.14,98.14,185,high
15.37,84.37,82,mid
23.99,92.99,167,high
24.55,93.55,152,high
19.89,88.89,93,mid
18.89,87.89,70,mid
21.93,90.93,107,mid
29.25,98.25,196,high
26.52,95.52,136,high
17.74,86.74,46,mid
27.51,96.51,164,high
23.13,92.13,152,high
23.71,92.71,139,high
29.73,98.73,173,high
25.72,94.72,198,high
11.4,80.4,49,low
19.44,88.44,124,mid
29.47,98.47,147,high
21.52,90.52,104,mid
14.7,83.7,15,low
12.77,81.77,4,low
14.49,83.49,85,low
12.68,81.68,86,low
29.72,98.72,172,high
20.52,89.52,118,mid
28.8,97.8,151,high
12.81,81.81,8,low
26.92,95.92,176,high
24.34,93.34,131,high
25.0,94.0,197,high
26.0,95.0,155,high
22.55,91.55,101,mid
15.05,84.05,50,mid
12.23,81.23,41,low
18.25,87.25,6,mid
19.52,88.52,94,mid
13.61,82.61,88,low
13.82,82.82,18,low
21.3,90.3,120,mid
28.86,97.86,157,high
26.02,95.02,157,high
16.83,85.83,46,mid
17.36,86.36,8,mid
25.82,94.82,137,high
18.83,87.83,64,mid
14.06,83.06,42,low
10.06,79.06,6,low
23.47,92.47,186,high
17.09,86.09,72,mid
21.85,90.85,99,mid
26.79,95.79,163,high
25.95,94.95,150,high
16.02,85.02,56,mid
22.16,91.16,92,mid
29.39,98.39,139,high
13.49,82.49,76,low
26.7,95.7,154,high
25.36,94.36,162,high
21.28,90.28,118,mid
10.09,79.09,9,low
21.09,90.09,99,mid
23.51,92.51,190,high
15.8,84.8,34,mid
19.88,88.88,92,mid
17.55,86.55,27,mid
25.92,94.92,147,high
26.16,95.16,171,high
26.77,95.77,161,high
11.35,80.35,44,low
12.7,81.7,88,low
28.74,97.74,145,high
12.29,81.29,47,low
11.11,80.11,20,low
23.29,92.29,168,high
13.75,82.75,11,low
24.02,93.02,170,high
21.87,90.87,101,mid
15.9,84.9,44,mid
16.7,85.7,33,mid
24.36,93.36,133,high
15.47,84.47,1,mid
19.01,88.01,82,mid
22.72,91.72,118,mid
10.13,79.13,13,low
26.39,95.39,194,high
18.22,87.22,3,mid
15.78,84.78,32,mid
16.81,85.81,44,mid
10.79,79.79,79,low
12.91,81.91,18,low
29.42,98.42,142,high
22.75,91.75,121,mid
18.6,87.6,41,mid
27.66,96.66,179,high
11.37,80.37,46,low
19.11,88.11,91,mid
17.7,86.7,42,mid
17.35,86.35,7,mid
23.75,92.75,143,high
12.21,81.21,39,low
25.2,94.2,146,high
12.6,81.6,78,low
24.48,93.48,145,high
12.53,81.53,71,low
27.28,96.28,141,high
13.87,82.87,23,low
20.84,89.84,112,mid
21.59,90.59,111,mid
21.04,90.04,94,mid
25.5,94.5,176,high
25.48,94.48,174,high
24.05,93.05,173,high
26.73,95.73,157,high
16.53,85.53,16,mid
27.59,96.59,172,high
17.04,86.04,67,mid
23.64,92.64,132,high
13.54,82.54,81,low
17.03,86.03,66,mid
29.43,98.43,143,high
20.42,89.42,108,mid
12.19,81.19,37,low
25.98,94.98,153,high
14.14,83.14,50,low
12.87,81.87,14,low
14.94,83.94,39,low
15.16,84.16,61,mid
13.12,82.12,39,low
29.46,98.46,146,high
14.24,83.24,60,low
20.34,89.34,100,mid
25.7,94.7,196,high
18.29,87.29,10,mid
18.28,87.28,9,mid
26.95,95.95,179,high
21.45,90.45,97,mid
13.79,82.79,15,low
28.35,97.35,177,high
13.23,82.23,50,low
18.4,87.4,21,mid
27.07,96.07,191,high
10.27,79.27,27,low
20.5,89.5,116,mid
22.35,91.35,111,mid
20.55,89.55,121,mid
11.08,80.08,17,low
13.93,82.93,29,low
12.89,81.89,16,low
18.77,87.77,58,mid
11.43,80.43,52,low
27.74,96.74,187,high
16.94,85.94,57,mid
15.06,84.06,51,mid
19.1,88.1,91,mid
24.87,93.87,184,high
14.56,83.56,1,low
15.35,84.35,80,mid
12.75,81.75,2,low
21.21,90.21,111,mid
25.29,94.29,155,high
22.81,91.81,127,mid
20.49,89.49,115,mid
11.63,80.63,72,low
21.6,90.6,112,mid
21.2,90.2,110,mid
27.45,96.45,158,high
16.32,85.32,86,mid
13.86,82.86,22,low
14.46,83.46,82,low
28.55,97.55,197,high
20.18,89.18,122,mid
23.16,92.16,155,high
15.3,84.3,75,mid
16.31,85.31,85,mid
27.61,96.61,174,high
11.99,80.99,17,low
19.39,88.39,119,mid
28.38,97.38,180,high
27.71,96.71,184,high
18.18,87.18,90,mid
24.11,93.11,179,high
16.46,85.46,9,mid
15.98,84.98,52,mid
22.57,91.57,103,mid
20.78,89.78,106,mid
24.95,93.95,192,high
27.48,96.48,161,high
19.95,88.95,99,mid
29.26,98.26,197,high
22.51,91.51,127,mid
18.84,87.84,65,mid
12.71,81.71,89,low
20.85,89.85,113,mid
29.8,98.8,180,high
28.46,97.46,188,high
11.53,80.53,62,low
13.57,82.57,84,low
27.35,96.35,148,high
21.83,90.83,97,mid
16.4,85.4,3,mid
17.49,86.49,21,mid
21.95,90.95,109,mid
16.52,85.52,15,mid
29.69,98.69,169,high
16.17,85.17,71,mid
25.62,94.62,188,high
22.03,91.03,117,mid
13.15,82.15,42,low
25.45,94.45,171,high
27.04,96.04,188,high
15.23,84.23,68,mid
23.22,92.22,161,high
26.1,95.1,165,high
20.51,89.51,117,mid
27.54,96.54,167,high
17.2,86.2,83,mid
27.89,96.89,131,high
10.97,79.97,6,low
28.34,97.34,176,high
15.91,84.91,45,mid
19.55,88.55,97,mid
13.69,82.69,5,low
29.44,98.44,144,high
29.66,98.66,166,high
19.48,88.48,128,mid
12.66,81.66,84,low
21.08,90.08,98,mid
13.18,82.18,45,low
13.84,82.84,20,low
18.45,87.45,26,mid
20.36,89.36,102,mid
26.59,95.59,143,high
21.62,90.62,114,mid
13.7,82.7,6,low
29.85,98.85,185,high
15.2,84.2,65,mid
25.93,94.93,148,high
23.95,92.95,163,high
21.43,90.43,95,mid
23.25,92.25,164,high
27.37,96.37,150,high
18.49,87.49,30,mid
19.58,88.58,100,mid
14.72,83.72,17,low
25.11,94.11,137,high
23.91,92.91,159,high
10.61,79.61,61,low
17.54,86.54,26,mid
20.86,89.86,114,mid
22.47,91.47,123,mid
26.07,95.07,162,high
17.69,86.69,41,mid
15.33,84.33,78,mid
28.98,97.98,169,high
12.0,81.0,18,low
17.18,86.18,81,mid
29.38,98.38,138,high
26.71,95.71,155,high
11.3,80.3,39,low
13.5,82.5,77,low
26.53,95.53,137,high
26.5,95.5,134,high
28.16,97.16,158,high
25.02,94.02,199,high
27.18,96.18,131,high
23.34,92.34,173,high
16.61,85.61,24,mid
17.78,86.78,50,mid
12.5,81.5,68,low
14.38,83.38,74,low
25.64,94.64,190,high
25.54,94.54,180,high
26.6,95.6,144,high
19.86,88.86,128,mid
22.79,91.79,125,mid
11.06,80.06,15,low
26.23,95.23,178,high
18.73,87.73,54,mid
29.07,98.07,178,high
20.6,89.6,126,mid
20.96,89.96,124,mid
12.07,81.07,25,low
20.16,89.16,120,mid
13.77,82.77,13,low
12.37,81.37,55,low
16.64,85.64,27,mid
28.59,97.59,130,high
13.05,82.05,32,low
29.98,98.98,198,high
18.15,87.15,87,mid
21.46,90.46,98,mid
18.82,87.82,63,mid
18.36,87.36,17,mid
20.13,89.13,117,mid
26.58,95.58,142,high
28.56,97.56,198,high
18.9,87.9,71,mid
10.98,79.98,7,low
24.89,93.89,186,high
27.75,96.75,188,high
15.22,84.22,67,mid
29.95,98.95,195,high
23.43,92.43,182,high
10.17,79.17,17,low
14.95,83.95,40,low
15.53,84.53,7,mid
16.45,85.45,8,mid
11.76,80.76,85,low
12.27,81.27,45,low
24.44,93.44,141,high
24.04,93.04,172,high
15.62,84.62,16,mid
18.96,87.96,77,mid
10.51,79.51,51,low
15.75,84.75,29,mid
22.4,91.4,116,mid
24.73,93.73,170,high
25.12,94.12,138,high
12.94,81.94,21,low
17.47,86.47,19,mid
24.54,93.54,151,high
23.98,92.98,166,high
17.01,86.01,64,mid
16.6,85.6,23,mid
28.94,97.94,165,high
16.67,85.67,30,mid
20.27,89.27,93,mid
23.17,92.17,156,high
10.7,79.7,70,low
27.19,96.19,132,high
13.3,82.3,57,low
14.57,83.57,2,low
11.56,80.56,65,low
10.74,79.74,74,low
17.93,86.93,65,mid
11.27,80.27,36,low
17.22,86.22,85,mid
10.43,79.43,43,low
15.46,84.46,0,mid
27.15,96.15,199,high
20.81,89.81,109,mid
16.49,85.49,12,mid
14.54,83.54,90,low
19.28,88.28,108,mid
14.52,83.52,88,low
28.0,97.0,142,high
25.6,94.6,186,high
10.25,79.25,25,low
23.12,92.12,151,high
16.41,85.41,4,mid
16.37,85.37,0,mid
24.31,93.31,199,high
22.93,91.93,132,high
15.28,84.28,73,mid
13.17,82.17,44,low
19.08,88.08,89,mid
20.26,89.26,92,mid
28.31,97.31,173,high
19.92,88.92,96,mid
13.51,82.51,78,low
11.58,80.58,67,low
21.14,90.14,104,mid
10.01,79.01,1,low
22.29,91.29,105,mid
18.05,87.05,77,mid
27.78,96.78,191,high
10.72,79.72,72,low
12.9,81.9,17,low
18.31,87.31,12,mid
21.94,90.94,108,mid
10.07,79.07,7,low
14.34,83.34,70,low
14.61,83.61,6,low
14.13,83.13,49,low
13.91,82.91,27,low
24.51,93.51,148,high
14.4,83.4,76,low
12.14,81.14,32,low
20.3,89.3,96,mid
28.41,97.41,183,high
12.64,81.64,82,low
24.41,93.41,138,high
19.69,88.69,111,mid
20.29,89.29,95,mid
24.8,93.8,177,high
26.22,95.22,177,high
17.37,86.37,9,mid
21.01,90.01,129,mid
26.44,95.44,199,high
11.49,80.49,58,low
10.16,79.16,16,low
24.83,93.83,180,high
12.57,81.57,75,low
24.59,93.59,156,high
18.23,87.23,4,mid
10.5,79.5,50,low
23.86,92.86,154,high
23.41,92.41,180,high
13.66,82.66,2,low
11.36,80.36,45,low
22.33,91.33,109,mid
15.89,84.89,43,mid
12.67,81.67,85,low
22.07,91.07,121,mid
28.78,97.78,149,high
17.65,86.65,37,mid
24.72,93.72,169,high
15.48,84.48,2,mid
28.67,97.67,138,high
24.5,93.5,147,high
26.82,95.82,166,high
13.19,82.19,46,low
16.34,85.34,88,mid
18.11,87.11,83,mid
13.29,82.29,56,low
22.17,91.17,93,mid
28.48,97.48,190,high
16.71,85.71,34,mid
27.98,96.98,140,high
11.15,80.15,24,low
13.63,82.63,90,low
22.98,91.98,137,high
17.64,86.64,36,mid
25.53,94.53,179,high
16.77,85.77,40,mid
18.88,87.88,69,mid
28.1,97.1,152,high
10.12,79.12,12,low
27.65,96.65,178,high
14.48,83.48,84,low
29.16,98.16,187,high
28.58,97.58,200,high
24.81,93.81,178,high
23.8,92.8,148,high
19.18,88.18,98,mid
22.69,91.69,115,mid
28.69,97.69,140,high
29.82,98.82,182,high
22.14,91.14,128,mid
27.63,96.63,176,high
17.79,86.79,51,mid
16.15,85.15,69,mid
18.08,87.08,80,mid
21.34,90.34,124,mid
25.25,94.25,151,high
27.6,96.6,173,high
14.64,83.64,9,low
27.24,96.24,137,high
12.05,81.05,23,low
24.67,93.67,164,high
24.1,93.1,178,high
21.82,90.82,96,mid
10.45,79.45,45,low
27.22,96.22,135,high
12.46,81.46,64,low
16.87,85.87,50,mid
